date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:18	327579/327579	---M-Z	200	added ('OK')	text/html	etag:%224ff9b-6229907f804e2-gzip%22	https://themesflat.co/html/ecomus/home-skincare.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-skincare.html	(from )
22:48:19	992/992	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2023%20Sep%202024%2014:48:17%20GMT	https://themesflat.co/robots.txt		(from )
22:48:20	26812/26812	---M--	200	added ('OK')	text/css	etag:%2268bc-6216d847a3b1c%22	https://themesflat.co/html/ecomus/fonts/fonts.css	D:/HuyDZ/ddd/themesflat.co/html/ecomus/fonts/fonts.css	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:21	6038/6038	---M--	200	added ('OK')	text/css	etag:%221796-6216d847950bb%22	https://themesflat.co/html/ecomus/fonts/font-icons.css	D:/HuyDZ/ddd/themesflat.co/html/ecomus/fonts/font-icons.css	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:22	4025/4025	---M--	200	added ('OK')	text/css	etag:%22fb9-62238ad825097%22	https://themesflat.co/html/ecomus/css/image-compare-viewer.min.css	D:/HuyDZ/ddd/themesflat.co/html/ecomus/css/image-compare-viewer.min.css	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:22	298776/298776	---M--	200	added ('OK')	text/css	etag:%2248f18-62238ad722bb8%22	https://themesflat.co/html/ecomus/css/bootstrap.min.css	D:/HuyDZ/ddd/themesflat.co/html/ecomus/css/bootstrap.min.css	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:23	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-62238addae0c9%22	https://themesflat.co/html/ecomus/css/swiper-bundle.min.css	D:/HuyDZ/ddd/themesflat.co/html/ecomus/css/swiper-bundle.min.css	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:23	54315/54315	---M--	200	added ('OK')	text/css	etag:%22d42b-62238ad55e93e%22	https://themesflat.co/html/ecomus/css/animate.css	D:/HuyDZ/ddd/themesflat.co/html/ecomus/css/animate.css	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:24	2882/2882	---M--	200	added ('OK')	image/png	etag:%22b42-6216da776dafe%22	https://themesflat.co/html/ecomus/images/logo/favicon.png	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/logo/favicon.png	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:24	297552/297552	---M-Z	200	added ('OK')	text/html	etag:%2248a50-6229908670741-gzip%22	https://themesflat.co/html/ecomus/index.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/index.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:24	383453/383453	---M--	200	added ('OK')	text/css	etag:%225d9dd-622c1dbf37654%22	https://themesflat.co/html/ecomus/css/styles.css	D:/HuyDZ/ddd/themesflat.co/html/ecomus/css/styles.css	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:25	3017/3017	---M--	200	added ('OK')	image/png	etag:%22bc9-6216da7bf520a%22	https://themesflat.co/html/ecomus/images/logo/logo-white@2x.png	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/logo/logo-white@2x.png	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:25	17361/17361	---M--	200	added ('OK')	image/jpeg	etag:%2243d1-6216da3475668%22	https://themesflat.co/html/ecomus/images/demo/home-01.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-01.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:26	269365/269365	---M-Z	200	added ('OK')	text/html	etag:%2241c35-6229907864361-gzip%22	https://themesflat.co/html/ecomus/home-multi-brand.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-multi-brand.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:26	17535/17535	---M--	200	added ('OK')	image/jpeg	etag:%22447f-6216da47e3d62%22	https://themesflat.co/html/ecomus/images/demo/home-multi-brand.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-multi-brand.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:26	255848/255848	---M-Z	200	added ('OK')	text/html	etag:%223e768-6229905c67122-gzip%22	https://themesflat.co/html/ecomus/home-02.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-02.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:26	17825/17825	---M--	200	added ('OK')	image/jpeg	etag:%2245a1-6216da34b4e0c%22	https://themesflat.co/html/ecomus/images/demo/home-02.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-02.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:26	289164/289164	---M-Z	200	added ('OK')	text/html	etag:%224698c-6229905c67cda-gzip%22	https://themesflat.co/html/ecomus/home-03.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-03.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:27	25514/25514	---M--	200	added ('OK')	image/jpeg	etag:%2263aa-6216da3759e3b%22	https://themesflat.co/html/ecomus/images/demo/home-03.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-03.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:27	286183/286183	---M-Z	200	added ('OK')	text/html	etag:%2245de7-6229905ebfe8d-gzip%22	https://themesflat.co/html/ecomus/home-04.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-04.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:27	19088/19088	---M--	200	added ('OK')	image/jpeg	etag:%224a90-6216da365b7dc%22	https://themesflat.co/html/ecomus/images/demo/home-04.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-04.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:27	267813/267813	---M-Z	200	added ('OK')	text/html	etag:%2241625-6229905ec835d-gzip%22	https://themesflat.co/html/ecomus/home-05.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-05.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:28	31407/31407	---M--	200	added ('OK')	image/jpeg	etag:%227aaf-6216da37fb44c%22	https://themesflat.co/html/ecomus/images/demo/home-05.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-05.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:28	397408/397408	---M-Z	200	added ('OK')	text/html	etag:%2261060-6229906107a87-gzip%22	https://themesflat.co/html/ecomus/home-06.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-06.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:28	18342/18342	---M--	200	added ('OK')	image/jpeg	etag:%2247a6-6216da39105f5%22	https://themesflat.co/html/ecomus/images/demo/home-06.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-06.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:28	262850/262850	---M-Z	200	added ('OK')	text/html	etag:%22402c2-62299061197b0-gzip%22	https://themesflat.co/html/ecomus/home-07.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-07.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:29	16083/16083	---M--	200	added ('OK')	image/jpeg	etag:%223ed3-6216da39a1265%22	https://themesflat.co/html/ecomus/images/demo/home-07.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-07.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:29	263807/263807	---M-Z	200	added ('OK')	text/html	etag:%224067f-6229906358321-gzip%22	https://themesflat.co/html/ecomus/home-08.html	D:/HuyDZ/ddd/themesflat.co/html/ecomus/home-08.html	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:29	29020/29020	---M--	200	added ('OK')	image/jpeg	etag:%22715c-6216da3aca076%22	https://themesflat.co/html/ecomus/images/demo/home-08.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-08.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
22:48:29	20401/20401	---M--	200	added ('OK')	image/jpeg	etag:%224fb1-6216da4be1175%22	https://themesflat.co/html/ecomus/images/demo/home-skincare.jpg	D:/HuyDZ/ddd/themesflat.co/html/ecomus/images/demo/home-skincare.jpg	(from https://themesflat.co/html/ecomus/home-skincare.html)
